TB,Pad8590,Pad8373,Pad2378,Pad2124,Pad1319
109,0.912722,0.211112,1.31093,1.18031,0.258998
110,1.74828,0.63939,1.16828,1.47806,-0.367166
111,2.3642,1.57306,1.1889,1.55346,-0.252754
112,2.67697,2.09439,1.47786,0.887474,0.577464
113,2.97064,2.17599,1.52215,0.454961,1.2178
114,3.1498,2.27415,1.36801,0.867091,1.42769
115,2.56773,2.22391,1.16323,1.55362,1.07672
116,1.5812,1.77793,1.28801,1.82531,0.643816
117,1.11023,0.589615,1.72584,1.1927,0.591856
118,1.32207,-0.372686,2.02188,0.277466,0.611495
119,1.58867,0.224506,2.05415,0.0584215,0.784461
120,1.15804,1.71581,1.76066,0.450673,1.08457
121,0.79177,2.6748,1.55443,0.850225,1.36799
122,1.43093,2.53484,1.49727,0.941153,1.36004
123,2.33456,1.61353,1.44547,1.35319,1.18828
124,2.4403,0.99361,1.57559,2.15913,1.13633
125,1.99652,1.19331,2.22406,2.91747,1.55389
126,1.89748,1.52563,2.49581,3.1106,1.77825
127,2.33543,1.34973,1.83193,2.1036,1.23681
128,2.46088,1.32919,1.17817,0.875071,0.816698
129,2.03917,1.76638,1.40769,0.602399,0.952087
130,1.56431,2.19597,1.92803,1.23207,1.14976
131,1.20879,2.38054,2.13898,1.77879,1.50329
132,0.716614,1.76206,2.218,1.62284,1.92451
133,0.288001,0.514079,2.27742,0.936245,1.55371
134,0.383045,0.292472,2.25239,0.736479,1.08645
135,0.880928,1.45819,2.00255,1.53952,1.16518
136,1.43302,2.63525,1.54667,1.99278,1.49106
137,2.10358,2.82327,1.00674,1.96083,1.21335
138,2.69358,2.29266,0.883045,1.69245,0.553147
139,2.33764,1.72583,1.55592,0.787489,0.61612
140,1.28455,1.96708,2.80692,0.59736,1.42033
141,0.651891,2.41446,3.67831,1.60806,1.92268
142,1.15563,2.17074,3.44451,2.34667,1.99848
143,2.34286,1.65503,2.66659,2.29917,1.88868
144,3.04363,1.73829,2.01416,2.43936,1.54273
145,2.92973,2.61788,1.73099,2.82954,1.17446
146,2.25962,3.00204,1.55167,2.50878,0.942667
147,1.68736,2.74372,1.47385,1.53396,0.974652
148,1.74968,2.69382,1.72777,0.786365,0.967908
149,1.91936,2.56595,2.24853,1.06592,0.881925
150,2.22967,2.32101,2.88131,2.0416,1.0798
151,2.9454,1.91781,3.24898,2.52751,1.56392
152,3.1903,1.69839,2.93762,2.31534,1.6579
153,2.975,2.38799,2.64052,2.37306,1.07078
154,2.96736,3.4308,2.52246,2.60807,0.631427
155,3.2639,3.86118,2.37482,2.38638,1.1348
156,3.33004,3.64543,2.26207,2.11829,1.91268
157,3.30052,3.1992,2.10917,2.43275,2.03807
158,3.27109,2.73184,2.29072,3.07578,1.43042
159,3.00662,2.47114,2.91439,2.88253,1.15426
160,2.72756,2.15743,3.20902,2.12292,1.74477
161,3.04504,1.88298,2.66566,1.98126,1.72316
162,3.77543,2.57798,1.57295,2.34467,0.977483
163,4.04089,3.53026,1.26792,2.34233,1.03976
164,3.86265,3.69381,2.31233,2.06197,1.99491
165,3.77248,3.20981,3.64743,2.0707,2.7256
166,3.82952,2.68883,3.63094,2.16729,2.69606
167,3.93724,2.25154,2.75493,1.64317,1.99426
168,3.87919,1.96656,2.22633,1.06443,1.04471
169,3.54143,2.45298,2.03602,1.66537,0.639962
170,3.28694,3.11343,1.95873,2.79524,1.16868
171,4.36157,2.93675,1.60136,3.45932,1.92667
172,6.66165,2.70284,1.28595,3.40741,2.22519
173,8.79517,3.12423,1.89171,2.75358,2.51609
174,9.97939,3.73901,3.38579,2.29275,2.83114
175,10.7845,3.86773,4.09917,2.38782,3.07911
176,13.065,3.65573,3.11398,2.45014,2.99374
177,17.4164,3.70494,1.65554,2.66556,2.13501
178,22.6931,4.14656,1.31994,3.12856,0.866624
179,28.1219,4.48304,2.23616,3.3365,0.688713
180,34.4625,4.27489,3.50832,2.96943,2.16766
181,42.2686,4.36341,4.00819,2.55614,3.54922
182,50.965,5.11407,3.55565,2.44303,3.03999
183,58.4795,5.87302,2.88698,2.63804,1.51643
184,63.0951,5.76818,2.77543,2.82772,0.850481
185,65.1345,5.34111,2.98362,3.0477,1.46167
186,65.4339,5.49409,2.82891,3.7555,2.3456
187,63.9744,6.7414,2.86141,4.27051,2.6201
188,60.2489,9.05709,3.1441,3.96657,2.50754
189,53.8752,11.8829,3.92408,3.33956,2.6629
190,45.6628,14.6599,4.80238,3.18732,3.10864
191,37.1686,16.6377,4.46001,3.16438,3.29485
192,30.4763,17.9993,3.31775,3.04879,2.92181
193,26.0376,19.4184,2.71517,3.36252,1.72344
194,21.9474,20.3075,3.08157,3.90905,0.990343
195,17.4743,19.9986,3.81885,3.97739,1.605
196,13.7859,19.3572,4.24665,3.45197,2.96033
197,11.3453,18.8634,4.14905,2.88594,3.80149
198,9.49632,18.3522,4.017,2.98323,3.45682
199,7.78558,17.5677,3.91205,3.45593,2.74078
200,6.17817,16.582,3.75868,3.55501,2.39228
201,5.6505,15.5344,3.74235,3.51877,2.64351
202,6.29239,14.5284,3.88656,3.4395,3.04657
203,6.0685,13.2054,4.34705,3.2279,3.16053
204,4.25128,11.3176,4.79546,2.82732,3.14993
205,2.51747,9.49909,4.72628,2.68657,3.02136
206,2.09257,8.16044,3.96408,3.35368,2.61325
207,2.74118,7.32377,3.63913,4.09822,1.9506
208,3.68492,6.75358,4.55753,4.22461,1.93621
209,4.44536,6.29342,5.97319,3.91399,2.57414
210,4.57083,5.77939,6.70895,3.52765,2.96355
211,3.92637,4.78926,6.63276,3.27631,3.16576
212,3.02677,4.06677,6.23484,3.62158,3.57255
213,2.79289,4.32682,6.43834,4.35728,3.47457
214,3.60777,4.86797,7.51383,5.0277,2.84571
215,4.48753,4.94661,9.65228,5.4124,2.68139
216,4.32379,4.70721,12.9111,5.42501,3.00686
217,4.2926,4.56713,16.8239,4.89065,3.15529
218,5.15484,4.84588,21.7334,4.16907,2.87077
219,5.5123,4.76121,27.5653,3.98086,2.2655
220,4.7353,4.12633,34.5875,4.63585,2.25433
221,3.71314,3.7933,42.8816,5.6641,2.84932
222,3.52799,3.98578,51.3426,6.26727,3.18295
223,4.06731,3.86188,58.4577,5.93999,3.2729
224,4.69538,3.83272,64.0603,4.99478,3.72016
225,5.36696,4.31002,68.5539,4.48471,4.36091
226,5.5715,4.68491,70.9201,4.9095,4.37889
227,5.1158,4.37677,69.6914,5.99594,3.66928
228,4.54205,3.75022,65.5835,7.40004,3.10096
